X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
5,,,0.006298507,4,279.66,1,9,,2,3,44401,2
5,,,0.01027934,3,279.67,2,9,,4,4,27207,3
1,,,0.034218253,5,279.7,3,6,,1,1,8174,7
1,,,0.008121897,2,279.71,1,9,,1,5,34439,6
1,,,0.027165599,5,279.86,3,5,,1,1,10302,7
1,,,0.010138381,4,279.87,1,9,,4,2,27605,3
5,,,0.005701252,2,279.96,1,9,,2,4,49105,2
1,,,0.009177396,3,280.14,1,6,,1,3,30525,7
1,,,0.018131712,5,280.28,1,5,,1,2,15458,6
1,,,0.011970208,5,280.45,3,7,,5,2,23429,4
1,,,0.009705862,5,280.48,1,4,,1,1,28898,6
1,,,0.004392904,2,280.79,4,9,,5,2,63919,4
1,,,0.014834161,5,280.87,3,6,,3,3,18934,3
2,,,0.003715687,5,281.14,2,9,,2,3,75663,1
4,,,0.014960106,5,281.25,4,2,,2,1,18800,5
1,,,0.003290546,4,281.47,1,9,,2,4,85539,2
5,,,0.004331994,3,281.48,1,9,,4,5,64977,3
1,,,0.035748571,5,281.52,4,8,,1,1,7875,7
1,,,0.006249002,1,281.63,1,9,,3,3,45068,3
1,,,0.024581951,2,281.66,4,9,,1,3,11458,7
1,,,0.008176619,5,281.66,3,5,,1,1,34447,6
2,,,0.009948805,5,281.78,3,8,,2,2,28323,2
3,,,0.029155804,5,281.82,3,5,,3,3,9666,3
1,,,0.005990991,1,281.96,4,9,,2,3,47064,1
2,,,0.0054892,2,282.09,1,8,,4,2,51390,3
1,,,0.012628021,5,282.11,3,6,,3,2,22340,3
4,,,0.005653402,5,282.28,2,4,,2,3,49931,1
1,,,0.008933316,4,282.4,1,9,,2,5,31612,4
4,,,0.021737223,2,282.41,1,6,,1,3,12992,7
1,,,0.018439091,5,282.45,3,5,,1,1,15318,7
1,,,0.012838962,5,282.47,1,9,,2,1,22001,2
1,,,0.003674982,2,282.54,1,9,,2,3,76882,1
1,,,0.003564994,5,282.54,1,9,,1,5,79254,7
1,,,0.026476155,5,282.58,4,5,,1,1,10673,6
2,,,0.018539002,5,282.59,1,9,,1,5,15243,7
1,,,0.010101129,3,282.67,4,8,,3,2,27984,4
2,,,0.012271209,5,282.79,3,9,,1,1,23045,7
1,,,0.012312078,5,282.87,3,6,,2,2,22975,4
1,,,0.012576357,2,282.88,1,9,,3,2,22493,4
4,,,0.009494529,5,282.88,1,2,,1,1,29794,6
1,,,0.003758404,1,282.88,1,9,,1,4,75266,6
1,,,0.012655782,5,282.92,3,5,,1,2,22355,6
2,,,0.009056875,5,283.29,1,7,,1,3,31279,7
1,,,0.003890399,3,283.33,4,9,,3,4,72828,5
1,,,0.0091911,2,283.38,1,7,,1,3,30832,7
1,,,0.037587533,5,283.41,4,7,,1,1,7540,6
1,,,0.007362966,1,283.43,1,9,,4,3,38494,3
1,,,0.010078931,3,283.48,2,9,,4,4,28126,4
1,,,0.023528338,2,283.54,4,6,,1,1,12051,6
1,,,0.008072533,4,283.58,1,9,,3,5,35129,3
1,,,0.011654475,3,283.6,4,9,,4,3,24334,4
5,,,0.010228609,6,283.67,2,3,,2,1,27733,1
1,,,0.024742762,3,283.75,1,9,,3,2,11468,3
1,,,0.027870752,6,283.78,3,6,,1,1,10182,6
1,,,0.02623648,5,283.8,4,5,,3,1,10817,3
5,,,0.007222279,5,283.85,4,8,,2,3,39302,5
4,,,0.015687932,5,284.03,2,2,,1,1,18105,6
2,,,0.023041187,5,284.19,4,8,,1,1,12334,7
4,,,0.014759036,5,284.2,4,3,,1,1,19256,6
1,,,0.0100374,5,284.48,1,5,,2,1,28342,2
1,,,0.005820376,4,284.5,1,9,,4,5,48880,3
1,,,0.013038259,3,284.56,4,9,,4,4,21825,3
4,,,0.012639851,2,284.7,3,4,,1,3,22524,6
1,,,0.027859937,5,284.84,3,7,,1,1,10224,6
2,,,0.012371667,2,284.87,2,8,,3,2,23026,4
2,,,0.00920084,5,284.95,1,9,,1,1,30970,7
1,,,0.007560827,1,284.96,1,9,,3,3,37689,3
1,,,0.014226969,5,285.08,1,5,,1,2,20038,6
1,,,0.006348655,3,285.08,1,9,,2,2,44904,1
1,,,0.004324829,3,285.11,2,9,,2,2,65924,1
1,,,0.007220773,3,285.17,1,9,,2,5,39493,1
1,,,0.010109871,2,285.25,1,9,,2,2,28215,1
4,,,0.01576972,3,285.29,3,4,,5,2,18091,4
