X,Y_0,Y_1,W,F_p,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
1,12692.7,18.9011,6,0,3,576.2,1,4,1,2,5,2,2
1,13422.3,19.2117,5,0,5,680.5,4,3,0,2,2,2,5
1,18446.7,19.0621,5,0,3,837.5,1,5,0,4,4,3,3
2,7350.2,18.9887,1,0,5,333.7,2,9,0,1,2,4,6
1,14063.3,19.0721,7,0,2,713.0,2,3,0,3,4,2,4
2,14235.2,18.8549,3,0,4,646.3,1,9,1,2,4,4,2
1,20064.0,18.7324,4,0,3,910.9,1,2,1,2,5,4,1
1,20492.3,18.9986,2,0,4,930.4,1,2,0,4,5,8,3
1,7575.2,19.0219,6,0,5,384.1,3,5,1,1,2,2,6
1,12136.7,19.1646,4,0,2,615.3,3,4,0,5,3,3,4
1,13428.9,19.1642,4,0,2,609.7,4,4,0,5,3,3,3
2,14006.3,19.1471,5,0,1,710.1,3,5,0,4,4,3,3
1,7177.5,19.1247,4,0,5,325.9,2,6,0,4,3,3,3
2,7148.1,18.9861,2,0,2,324.5,1,5,0,4,3,4,3
1,7314.7,18.9999,2,0,3,332.1,1,6,0,3,3,4,3
1,9023.6,19.1948,4,0,2,457.5,2,4,0,2,2,2,1
1,15164.6,19.115,3,0,5,768.8,1,4,0,2,3,4,1
1,10089.1,19.1032,3,0,3,458.0,4,6,0,4,3,3,3
2,12416.7,19.0526,3,0,2,563.7,1,9,0,3,4,4,3
2,9896.7,19.1407,12,1,2,501.8,3,5,0,1,1,1,7
2,11514.0,19.2393,10,1,1,583.8,3,5,0,2,2,2,5
1,7967.7,18.831,1,0,3,361.7,1,4,1,2,4,6,1
1,2835.6,19.2863,4,0,2,143.8,4,6,0,3,2,2,3
2,18840.6,18.8386,4,0,3,855.4,1,6,1,2,4,3,2
1,11259.7,19.0462,3,0,2,511.2,1,3,0,2,3,3,1
1,12430.4,19.2726,7,0,2,630.2,4,9,0,2,2,2,4
1,8563.8,19.1192,9,0,2,434.2,4,2,0,2,2,1,1
1,16141.5,19.2666,4,0,5,732.8,2,8,0,1,1,3,6
1,16341.0,18.9129,1,0,4,741.9,1,3,1,2,5,8,1
1,8263.0,18.9737,5,0,5,375.1,3,8,1,1,3,2,7
1,15933.5,19.2736,2,0,3,723.4,4,8,0,2,2,5,2
2,12332.1,19.1781,6,0,2,625.2,4,6,0,2,2,2,4
1,10458.0,18.9384,3,0,2,474.8,4,4,1,1,3,2,7
1,12490.1,18.7765,1,0,3,567.1,1,4,1,2,5,8,1
2,17584.2,19.2508,4,0,2,891.5,4,7,0,5,5,5,4
2,12772.9,19.0619,7,0,2,579.9,4,6,0,3,3,2,1
2,9311.8,19.0708,7,0,2,422.8,1,6,0,2,3,2,2
1,11541.6,19.2856,4,0,2,585.2,3,5,0,5,4,4,3
2,16972.8,19.0097,2,0,3,770.6,1,5,0,4,4,5,3
1,13491.1,19.1603,9,0,2,684.0,4,5,0,2,3,2,4
2,16260.8,18.9522,1,0,3,824.4,1,5,0,4,3,8,2
2,20052.5,18.8557,2,0,4,1016.7,1,9,1,2,5,7,1
2,10333.1,19.2008,7,0,2,523.9,4,7,0,2,3,2,4
2,16324.2,19.1213,7,0,2,827.6,3,6,0,1,2,2,7
1,12801.3,18.834,6,0,3,649.0,1,3,1,1,3,2,7
1,6466.3,19.2348,3,0,5,327.8,3,5,0,3,2,3,3
1,10032.5,18.7658,4,0,4,455.5,2,9,1,1,5,2,6
2,12861.4,19.0017,3,0,3,583.9,1,6,0,3,3,4,1
2,14336.1,18.9257,3,0,2,650.9,2,6,1,1,4,4,6
1,571.5,18.9409,1,0,2,25.9,1,6,1,2,5,6,1
2,15673.6,19.0538,8,0,2,794.7,4,9,0,3,3,2,4
2,10609.9,19.1534,3,0,4,481.7,4,9,0,2,3,3,5
2,6927.1,19.0707,5,0,5,351.2,4,6,0,1,2,2,7
1,11828.2,19.2238,3,0,2,599.7,2,6,0,4,3,3,4
2,10169.6,19.1261,9,0,2,515.6,2,2,0,2,2,1,1
2,9989.3,19.2248,5,0,3,506.5,4,7,0,3,3,2,4
1,12615.9,18.8829,11,1,5,639.6,4,8,1,1,3,1,6
1,17028.5,18.877,2,0,2,773.1,2,3,1,2,4,5,1
2,4138.5,19.0892,4,0,5,209.8,4,6,0,1,1,1,7
2,12899.8,19.0648,1,0,3,585.7,1,5,0,3,3,6,1
2,10564.3,19.0889,4,0,3,535.6,4,8,0,1,1,2,7
2,13616.3,18.9903,6,0,3,618.2,1,5,0,1,2,2,7
1,15095.0,19.1005,1,0,2,765.3,1,5,0,4,3,10,3
2,15643.8,18.7288,7,0,4,710.2,1,7,1,1,5,2,7
2,13811.6,19.098,6,0,3,700.2,4,4,0,4,3,3,4
2,13987.1,18.9711,1,0,3,635.0,1,9,0,2,3,6,1
2,13219.8,19.0139,2,0,4,600.2,1,9,0,2,2,5,2
2,16112.6,18.8086,7,0,2,731.5,1,4,1,1,4,2,6
1,14285.2,19.0094,1,0,3,648.5,1,2,0,2,3,7,1
1,8851.3,19.1754,4,0,2,401.8,2,3,0,4,3,2,3
1,10222.3,18.8,3,0,4,464.1,1,6,1,1,3,3,7
1,12905.7,19.2349,4,0,5,654.3,3,5,0,5,3,4,3
2,7952.5,19.1047,5,0,3,403.2,4,5,0,1,1,2,7
1,14931.3,19.1512,2,0,3,677.9,1,4,0,2,2,6,1
2,18221.4,18.9842,3,0,3,827.3,1,3,0,5,3,5,3
1,9204.2,18.8769,2,0,4,417.9,1,5,1,2,5,5,2
1,9773.1,19.1488,12,1,1,495.5,2,8,0,1,2,1,6
1,10129.5,18.8138,1,0,2,459.9,1,3,1,3,5,8,5
2,13301.9,18.9324,4,0,2,603.9,1,3,0,2,3,3,4
1,11530.2,19.0141,1,0,4,523.5,1,4,0,5,5,10,3
2,11984.7,19.0347,4,0,3,544.1,3,5,0,3,3,3,4
2,12374.3,18.7694,3,0,4,627.4,1,6,1,2,5,5,1
2,8358.3,19.0586,12,1,5,423.8,4,9,0,1,2,1,7
1,13076.0,19.1112,4,0,1,663.0,4,3,0,5,3,3,3
1,17178.3,19.0356,11,1,2,870.9,2,3,0,1,2,2,6
2,5866.3,19.0894,5,0,5,297.4,3,6,0,1,1,1,6
1,14187.6,19.1205,1,0,1,644.1,1,8,0,3,3,9,3
1,11514.8,19.1638,3,0,1,583.8,2,9,0,4,3,4,3
2,11895.6,19.0818,6,0,2,603.1,2,9,0,1,2,2,6
2,9978.6,18.7707,1,0,4,453.0,1,5,1,1,5,5,7
1,18107.4,18.8288,4,0,4,822.1,1,9,1,2,4,4,1
2,14671.4,18.9996,5,0,3,743.8,1,7,0,2,3,2,2
1,14009.6,19.0289,5,0,1,636.0,2,5,0,4,3,3,3
1,12109.9,19.1592,2,0,6,549.8,2,2,0,2,2,4,5
1,9264.1,19.1853,4,0,2,469.7,3,8,0,2,4,3,2
2,16041.7,19.1046,7,0,1,728.3,2,6,0,4,4,2,3
2,11294.8,19.0495,3,0,2,572.6,3,4,0,2,3,4,5
2,15039.9,19.0147,3,0,3,682.8,1,6,0,3,4,4,3
1,13801.2,19.0544,6,0,1,699.7,2,3,0,5,3,3,3
1,14346.8,18.8966,16,1,3,651.3,3,4,1,1,5,1,6
1,13821.4,18.7279,2,0,1,627.5,1,2,1,2,5,5,2
2,15481.3,18.9785,6,0,3,784.9,3,4,0,3,3,2,4
1,11785.6,19.1175,1,0,5,535.1,1,4,0,2,2,10,1
1,17193.4,18.9283,2,0,3,780.6,1,6,1,2,5,6,1
2,8199.7,19.0707,2,0,3,415.7,3,4,0,4,3,4,3
1,14061.9,19.2643,10,1,2,712.9,4,7,0,5,4,2,3
2,11951.0,18.8348,5,0,3,542.6,1,5,1,1,3,2,7
2,10328.7,19.1624,6,0,5,468.9,2,7,0,2,1,2,1
2,11455.1,19.1856,4,0,2,580.8,3,5,0,3,3,4,1
1,11794.2,19.2427,9,0,5,598.0,3,4,0,1,1,1,6
2,11246.4,19.1618,9,0,5,570.2,3,5,0,1,2,1,6
2,15794.2,18.9407,5,0,3,717.1,1,5,0,3,3,2,2
1,15160.5,19.1708,4,0,2,768.6,2,4,0,2,3,3,1
2,16519.0,18.9972,3,0,3,750.0,1,6,0,2,3,4,2
2,18466.0,18.8049,2,0,4,838.4,1,5,1,2,5,5,2
1,8079.6,18.901,4,0,5,366.8,1,5,1,1,2,2,6
2,15228.2,19.0223,7,0,3,691.4,1,5,0,2,3,2,2
2,10349.1,18.8742,2,0,4,469.8,1,6,1,3,5,5,5
2,11074.7,18.9768,1,0,3,502.8,4,9,0,3,3,6,1
2,16107.9,18.8569,1,0,4,731.3,1,5,1,2,5,6,2
1,10574.1,19.0216,4,0,3,536.1,1,4,0,5,3,3,3
1,14529.5,18.9294,3,0,2,659.6,1,2,0,2,3,4,1
1,16265.6,19.0425,1,0,3,738.5,1,2,0,3,4,7,3
1,10859.3,19.1585,2,0,2,493.0,1,7,0,2,2,4,4
1,9810.9,19.1353,6,0,2,445.4,1,6,0,2,2,2,2
2,13177.3,19.2732,8,0,3,668.1,4,9,0,2,3,2,4
2,8390.8,19.0666,4,0,2,380.9,3,5,1,1,3,2,7
2,16753.8,19.026,3,0,3,760.6,1,6,0,4,3,4,3
2,9344.1,19.2678,3,0,2,424.2,3,5,0,5,3,4,3
1,11665.1,18.8384,3,0,3,529.6,1,3,1,2,5,3,1
2,12659.1,18.9489,5,0,4,574.7,1,5,0,2,3,2,2
2,11576.7,19.1428,3,0,5,586.9,4,9,0,1,1,2,6
2,8185.7,19.1876,6,0,5,415.0,4,6,0,1,1,2,7
2,8305.2,18.7708,9,0,3,421.1,1,4,1,1,3,1,6
2,16467.6,18.8401,1,0,4,747.6,1,5,1,2,5,10,1
2,14434.1,18.9984,2,0,2,655.3,1,9,0,3,4,6,3
2,16461.6,18.9366,3,0,3,834.6,1,5,0,4,4,5,3
2,15963.1,19.1306,5,0,2,809.3,4,7,0,5,3,3,3
2,12194.8,19.2242,6,0,2,618.3,3,4,0,5,2,2,3
2,19709.4,18.8574,9,0,4,999.3,1,5,1,2,5,2,1
2,10115.1,19.1582,5,0,2,459.2,1,7,0,2,4,2,2
2,12263.1,19.1339,2,0,1,621.7,4,4,0,3,3,5,1
1,10240.8,19.207,4,0,2,519.2,2,5,0,3,4,3,3
2,10011.4,18.9858,5,0,3,454.5,1,4,0,5,3,3,3
2,9652.5,19.2383,4,0,3,438.2,3,5,0,2,2,3,4
2,12471.1,18.9955,2,0,4,566.2,1,8,0,4,4,5,3
1,13852.9,19.2723,6,0,5,702.3,4,4,0,3,3,2,5
2,14015.4,19.1188,10,1,2,710.6,3,4,0,3,2,1,1
2,15806.0,18.8224,3,0,3,717.6,1,6,1,1,4,3,7
2,7756.9,19.082,1,0,2,352.2,1,9,0,3,2,5,3
1,11510.8,19.2078,2,0,2,583.6,2,4,0,4,2,4,4
2,5543.5,18.8089,3,0,5,251.7,3,5,1,1,3,2,7
1,10243.3,19.0524,7,0,3,465.0,2,5,0,1,5,1,6
2,8808.8,19.0638,7,0,2,399.9,1,5,0,2,3,2,4
1,10565.3,19.2108,7,0,6,535.7,4,4,0,3,3,2,4
2,13124.2,18.9058,4,0,2,595.8,3,5,1,1,3,3,7
2,9195.9,19.1696,9,0,2,466.2,3,9,0,1,1,1,6
2,12868.0,19.0314,8,0,4,652.4,2,9,0,4,5,2,4
2,4847.7,19.1205,5,0,3,245.8,3,5,0,2,2,2,4
1,11096.7,19.1318,4,0,2,562.6,2,3,0,4,3,3,4
2,12776.8,18.7452,3,0,4,580.1,1,5,1,1,5,3,7
2,14287.7,19.182,5,0,3,648.7,3,5,0,1,1,2,7
1,12653.7,19.0956,3,0,3,574.5,2,8,0,3,3,4,3
2,12388.5,18.8495,6,0,2,628.1,2,5,1,1,4,2,7
1,7671.1,19.093,5,0,5,388.9,1,6,0,1,2,2,6
2,14697.7,19.0071,5,0,4,667.3,1,7,0,2,3,3,2
2,16407.4,18.9855,2,0,3,744.9,1,4,0,4,4,6,5
1,10409.8,19.0222,3,0,4,472.6,1,5,0,2,4,3,2
2,12999.4,18.9568,5,0,4,659.1,1,8,0,2,2,2,2
1,15059.3,18.821,2,0,4,683.7,1,4,1,2,5,5,2
2,12789.0,19.1409,11,1,1,580.6,3,5,0,2,2,1,1
1,13858.5,19.1608,7,0,2,702.6,2,3,0,3,3,2,4
1,12322.7,19.1163,2,0,1,624.8,3,6,0,4,4,6,2
2,10777.2,19.1098,7,0,2,489.3,4,9,0,2,3,2,5
2,10577.6,19.1507,5,0,1,480.2,4,5,0,1,1,2,7
2,12921.1,19.2824,8,0,2,655.1,4,6,0,2,3,2,4
1,12666.5,19.1528,3,0,2,575.1,2,2,0,2,2,4,1
1,7723.4,19.2329,3,0,3,391.6,4,8,0,1,2,2,7
1,19049.8,18.7802,10,1,6,864.9,2,3,1,1,4,2,6
1,16500.1,18.7971,3,0,4,749.1,1,1,1,2,5,5,2
2,8550.4,19.0489,4,0,3,388.2,4,8,0,4,4,3,1
2,15661.4,19.077,5,0,3,711.0,4,5,0,4,2,3,3
2,12355.7,19.1388,5,0,1,626.4,3,5,0,4,2,3,4
1,10405.1,19.2152,3,0,5,527.5,2,6,0,5,2,4,3
1,7118.0,19.2214,4,0,3,360.9,3,5,0,2,1,2,1
1,11950.8,18.9836,16,1,2,542.6,3,6,1,2,4,1,5
1,15289.6,19.0189,5,0,2,694.1,2,3,0,4,3,3,3
2,13721.0,18.9221,3,0,4,622.9,1,8,1,2,5,4,2
2,11321.8,19.1494,4,0,1,514.0,2,6,0,4,3,3,4
2,9625.7,18.941,3,0,3,437.0,1,9,0,4,2,3,3
1,10746.3,19.1461,2,0,5,487.9,1,5,0,3,2,4,3
1,12157.6,18.8893,1,0,3,552.0,1,5,1,2,5,10,1
2,12207.6,19.0298,6,0,3,618.9,3,5,0,1,2,2,6
2,11687.8,19.0107,6,0,3,592.6,3,4,0,3,2,2,2
1,10094.3,19.1788,6,0,3,511.8,2,5,0,3,2,2,4
1,10395.4,19.1921,7,0,6,472.0,2,4,0,1,2,2,6
2,15318.8,19.0369,3,0,2,776.7,1,5,0,5,4,5,3
2,16749.9,19.1958,8,0,2,849.2,2,9,0,2,2,2,2
2,12584.1,19.0782,8,0,2,638.0,3,5,0,4,5,2,3
2,8843.7,19.2077,5,0,2,401.5,3,5,0,1,1,2,7
2,14564.7,18.853,6,0,1,661.2,1,8,1,1,3,2,7
2,15049.0,19.0034,4,0,4,683.2,1,6,0,2,3,3,2
1,13538.1,19.1328,3,0,3,614.6,4,5,0,1,2,3,7
1,16508.4,18.8581,3,0,4,749.5,1,4,1,1,5,4,7
1,11900.8,19.0703,1,0,2,540.3,1,2,0,2,4,7,1
1,13306.9,19.1897,2,0,2,604.1,2,8,0,2,2,5,1
2,10796.7,19.1913,7,0,5,547.4,3,6,0,2,1,2,1
2,14465.8,18.9511,2,0,3,656.7,1,3,0,3,4,5,3
1,16620.0,18.941,4,0,4,754.5,1,4,0,2,4,3,2
2,12946.2,19.0368,3,0,2,587.8,1,5,0,2,4,3,2
1,10168.7,19.2068,9,0,5,515.6,4,9,0,1,2,1,7
2,11019.5,19.1336,4,0,3,558.7,1,6,0,2,3,3,2
2,9244.5,19.0223,3,0,1,419.7,2,4,0,3,3,3,3
2,7289.5,19.2477,5,0,5,369.6,3,5,0,3,2,2,3
2,15670.3,18.8162,3,0,3,711.4,1,4,1,2,4,4,5
1,16591.1,19.0935,2,0,4,753.2,1,8,0,2,4,5,1
2,16220.6,18.9735,16,1,3,822.4,1,5,0,2,4,1,4
2,7486.8,19.2606,7,0,5,339.9,4,6,0,2,1,1,2
1,11119.3,19.0379,2,0,3,504.8,1,4,0,2,4,4,2
2,10307.4,18.9517,3,0,3,468.0,1,8,0,3,4,3,3
1,7683.8,18.9896,4,0,5,348.8,3,4,1,1,2,2,6
1,9735.6,18.9299,7,0,1,493.6,2,7,1,1,3,2,6
