X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,1,1,1,1,1,0,1,1,1,0
0,1,0,1,0,1,0,0,0,1,1,1,1
1,1,1,1,0,1,1,0,0,0,1,0,1
0,0,1,1,0,1,0,0,0,0,0,1,1
1,0,1,1,0,1,0,1,1,0,0,1,1
1,0,0,0,1,0,0,0,1,0,1,1,1
1,0,0,0,1,1,1,0,1,1,1,0,1
0,0,1,0,0,1,0,0,1,1,1,0,0
